Price,Year,Miles,Zip,Name
10000,2006,119200,z90210,Toyota Prius 
9000,2004,134000,z90210,Toyota Prius 
6000,2001,133000,z90210,Toyota Prius 
14900,2009,72900,z90210,Toyota Prius 
19000,2009,24100,z90210,Toyota Prius 
26800,2011,22300,z90210,Toyota Prius 
23000,2010,8700,z90210,Toyota Prius 
24700,2010,32500,z90210,Toyota Prius 
23800,2010,20100,z90210,Toyota Prius 
16000,2010,72800,z78717,Toyota Prius 
24900,2012,7100,z78717,Toyota Prius 
10000,2007,105500,z78717,Toyota Prius 
10000,2007,104400,z78717,Toyota Prius 
22000,2010,39700,z78717,Toyota Prius 
18000,2010,57700,z78717,Toyota Prius 
13900,2008,73300,z78717,Toyota Prius 
19700,2010,35800,z78717,Toyota Prius 
20000,2010,61300,z78717,Toyota Prius 
21000,2010,35500,z78717,Toyota Prius 
21800,2011,12000,z78717,Toyota Prius 
22300,2010,40000,z78717,Toyota Prius 
23500,2011,9000,z78717,Toyota Prius 
23000,2011,44000,z78717,Toyota Prius 
16000,2007,65700,z78717,Toyota Prius 
16000,2007,85600,z78717,Toyota Prius 
17000,2006,67800,z78717,Toyota Prius 
17600,2008,39500,z78717,Toyota Prius 
22000,2011,20500,z78717,Toyota Prius 
22600,2010,35200,z78717,Toyota Prius 
27000,2011,13500,z78717,Toyota Prius 
21500,2010,33900,z78717,Toyota Prius 
21000,2011,14800,z78717,Toyota Prius 
6000,2002,108500,z78717,Toyota Prius 
12900,2005,68600,z78717,Toyota Prius 
14900,2008,74400,z78717,Toyota Prius 
15200,2008,69600,z78717,Toyota Prius 
16300,2010,79700,z78717,Toyota Prius 
19200,2010,68800,z78717,Toyota Prius 
19900,2010,57400,z78717,Toyota Prius 
20000,2010,29800,z78717,Toyota Prius 
21400,2012,35100,z78717,Toyota Prius 
21700,2010,35700,z78717,Toyota Prius 
22200,2010,21900,z78717,Toyota Prius 
22800,2012,22900,z78717,Toyota Prius 
23200,2012,18100,z78717,Toyota Prius 
23400,2012,16500,z78717,Toyota Prius 
23400,2012,16500,z78717,Toyota Prius 
23400,2012,12500,z78717,Toyota Prius 
23500,2012,18100,z78717,Toyota Prius 
23800,2012,15100,z78717,Toyota Prius 
24600,2010,19700,z78717,Toyota Prius 
28700,2012,8100,z78717,Toyota Prius 
24000,2012,18900,z78717,Toyota Prius 
17000,2009,43200,z78717,Toyota Prius 
18000,2010,51000,z78717,Toyota Prius 
19000,2009,49500,z78717,Toyota Prius 
21500,2012,18900,z78717,Toyota Prius 
21500,2012,19400,z78717,Toyota Prius 
21500,2012,19500,z78717,Toyota Prius 
